1,3M Company,MMM
2,AB Volvo,VOLVY
3,ABB LTD,ABB
4,Abbott Laboratories,ABT
5,ABN Amro Holding N.V.,ABN
6,Accenture Ltd.,ACN
7,Ace Limited,ACE
8,Adecco SA,ADO
9,Adobe Systems Incorporated,ADBE
10,"Advanced Micro Devices, Inc.",AMD
11,Advantest Corporation (Kabushiki Kaisha Advantest) ADS,ATE
12,AEGON N.V.,AEG
13,Aes Trust,AES
14,Aetna Inc.,AET
15,AFLAC Incorporated,AFL
16,"Agilent Technologies, Inc.",A
17,"Air Products and Chemicals, Inc.",APD
18,Akzo Nobel N.V.,AKZOY
19,"ALCAN, Inc.",AL
20,ALCATEL,ALA
21,Alcoa Inc.,AA
22,ALCON INC,ACL
23,"Allergan, Inc.",AGN
24,Allianz Aktiengesellschaft,AZ
25,"Allied Irish Banks, p.l.c.",AIB
26,Allstate Corporation (The),ALL
27,ALLTEL Corporation,AT
28,Altria Group,MO
29,"Amazon.com, Inc.",AMZN
30,Amerada Hess Corporation,AHC
31,Ameren Corporation,AEE
32,"America Movil, S.A. de C.V.",AMX
33,"American Electric Power Company, Inc.",AEP
34,American Express Company,AXP
35,American Home Products Corporation,WYE
36,"American International Group, Inc.",AIG
37,American Tower Corporation,AMT
38,Amgen Inc.,AMGN
39,Anadarko Petroleum Corporation,APC
40,"Analog Devices, Inc.",ADI
41,Anglo American plc,AAUK
42,AngloGold Ashanti Ltd.,AU
43,"Anheuser-Busch Companies, Inc.",BUD
44,Aon Corporation,AOC
45,Apache Corporation,APA
46,"Apple Computer, Inc.",AAPL
47,"Applied Materials, Inc.",AMAT
48,Archer-Daniels-Midland Company,ADM
49,ASML Holding N.V.,ASML
50,ASTRAZENECA PLC,AZN
51,AT&T Inc.,T
52,Australia & New Zealand Banking Group Limited,ANZ
53,"Automatic Data Processing, Inc.",ADP
54,"Avon Products, Inc.",AVP
55,AXA,AXA
56,Baker Hughes Incorporated,BHI
57,Banco Bilbao Viscaya Argentaria S.A.,BBV
58,Banco Bradesco Sa,BBD
59,Banco Itau Holding Financeira SA (Holding Co),ITU
60,"Banco Santander Central Hispano, S.A.",STD
61,Bank of America Corporation,BAC
62,Bank Of Montreal,BMO
63,"Bank of New York Company, Inc. (The)",BK
64,Bank of Nova Scotia (The),BNS
65,Barclays PLC,BCS
66,Baxter International Inc.,BAX
67,Bayer Aktiengesellschaft,BAY
68,BB&T Corporation,BBT
69,"BCE, Inc.",BCE
70,"Bear Stearns Companies, Inc (The)",BSC
71,"Becton, Dickinson and Company",BDX
72,Bed Bath & Beyond Inc.,BBBY
73,Berkshire Hathaway Inc.,BRK/A
74,Berkshire Hathaway Inc.,BRK/B
75,"Best Buy Co., Inc.",BBY
76,BG Group plc,BRG
77,BHP Billiton Limited,BHP
78,BHP BILLITON PLC,BBL
79,Biogen Idec Inc,BIIB
80,BJ Services Company,BJS
81,BOC Group plc (The),BOX
82,Boeing Company (The),BA
83,Boston Scientific Corporation,BSX
84,BP p.l.c.,BP
85,"British American Tobacco Industries, p.l.c.",BTI
86,"British Sky Broadcasting Group, plc",BSY
87,Broadcom Corporation,BRCM
88,Brown-Forman Corporation,BF
89,BT GROUP PLC,BT
90,Burlington Northern Santa Fe Corporation,BNI
91,Burlington Resources Inc.,BR
92,"Cadbury Schweppes, PLC",CSG
93,Cameco Corporation,CCJ
94,Campbell Soup Company,CPB
95,Canadian Imperial Bank of Commerce,BCM
96,Canadian National Railway Company,CNI
97,Canadian Natural Resources Limited,CNQ
98,"Canon, Inc.",CAJ
99,Capital One Financial Corporation,COF
100,"Cardinal Health, Inc.",CAH
101,"Caremark Rx, Inc.",CMX
102,Carnival Corporation,CCL
103,Carnival Plc ADS,CUK
104,"Caterpillar, Inc.",CAT
105,CBS Corporation,CBS
106,Celgene Corporation,CELG
107,Cemex Sa De Cv A Ads,CX
108,Cendant Corporation,CD
109,Charles Schwab Corporation (The),SCHW
110,Chesapeake Energy Corporation,CHK
111,ChevronTexaco Corporation,CVX
112,Chicago Mercantile Exchange Holdings,CME
113,China Mobile (Hong Kong) Ltd.,CHL
114,China Netcom Group Corporation (Hong Kong) Limited,CN
